"time","CA","CB","CP","CI","X_A","Y_P","S_P","purity","production_rate","reactor"
0,1,1.2,0,0,0,0,0,0,0,"CSTR"
0.5,0.671537802566137,0.871537802566138,0.295001576887317,0.0334606205465452,0.328462197433863,0.295001576887317,0.898129459931498,0.898129459931498,0.885004730661952,"CSTR"
1,0.499670152718057,0.699670152718057,0.449360976895015,0.0509688703869277,0.500329847281943,0.449360976895015,0.898129460870769,0.898129460870769,1.34808293068505,"CSTR"
1.5,0.395469978444172,0.595469978444172,0.542946223425307,0.0615837981305211,0.604530021555828,0.542946223425307,0.898129461180178,0.898129461180178,1.62883867027592,"CSTR"
2,0.326575279505715,0.526575279505715,0.604822582363428,0.0686021381308566,0.673424720494285,0.604822582363428,0.898129461332169,0.898129461332169,1.81446774709028,"CSTR"
2.5,0.278377622711411,0.478377622711411,0.648110317961849,0.0735120593267396,0.721622377288589,0.648110317961849,0.898129461421246,0.898129461421246,1.94433095388555,"CSTR"
3,0.243312563407894,0.443312563407894,0.679603280832463,0.0770841557596429,0.756687436592106,0.679603280832463,0.898129461478921,0.898129461478921,2.03880984249739,"CSTR"
3.5,0.217068519996431,0.417068519996431,0.703173829439779,0.0797576505637896,0.782931480003569,0.703173829439779,0.898129461518707,0.898129461518707,2.10952148831934,"CSTR"
4,0.197007203834708,0.397007203834708,0.721191488544477,0.0818013076208147,0.802992796165292,0.721191488544477,0.898129461547366,0.898129461547366,2.16357446563343,"CSTR"
4.5,0.18142260081055,0.38142260081055,0.735188479684424,0.0833889195050252,0.81857739918945,0.735188479684424,0.898129461568661,0.898129461568661,2.20556543905327,"CSTR"
5,0.16916358535571,0.369163585355711,0.746198662647692,0.0846377519965974,0.830836414644289,0.746198662647692,0.89812946158485,0.89812946158485,2.23859598794308,"CSTR"
5.5,0.159425529919346,0.359425529919346,0.754944697144164,0.0856297729364896,0.840574470080654,0.754944697144164,0.898129461597373,0.898129461597373,2.26483409143249,"CSTR"
6,0.151629426014639,0.351629426014639,0.761946607754986,0.0864239662303751,0.848370573985361,0.761946607754986,0.898129461607192,0.898129461607192,2.28583982326496,"CSTR"
6.5,0.145348898264648,0.345348898264648,0.767587334768343,0.0870637669670087,0.854651101735352,0.767587334768343,0.898129461614971,0.898129461614971,2.30276200430503,"CSTR"
7,0.14026395424687,0.34026395424687,0.772154272806716,0.0875817729464139,0.85973604575313,0.772154272806716,0.898129461621187,0.898129461621187,2.31646281842015,"CSTR"
7.5,0.136130236571504,0.336130236571505,0.775866886441304,0.0880028769871911,0.863869763428496,0.775866886441304,0.898129461626186,0.898129461626186,2.32760065932391,"CSTR"
8,0.132758750995814,0.332758750995814,0.778894916969785,0.088346332034401,0.867241249004186,0.778894916969785,0.898129461630227,0.898129461630227,2.33668475090935,"CSTR"
8.5,0.130001474092549,0.330001474092549,0.781371308593335,0.0886272173141157,0.869998525907451,0.781371308593335,0.898129461633509,0.898129461633509,2.34411392578001,"CSTR"
9,0.127741548117853,0.327741548117853,0.783401014694653,0.0888574371874933,0.872258451882147,0.783401014694653,0.898129461636184,0.898129461636184,2.35020304408396,"CSTR"
9.5,0.125885939244279,0.325885939244279,0.785067591695194,0.0890464690605264,0.874114060755721,0.785067591695194,0.89812946163837,0.89812946163837,2.35520277508558,"CSTR"
10,0.124360048741894,0.324360048741894,0.786438038912189,0.0892019123459175,0.875639951258106,0.786438038912189,0.89812946164016,0.89812946164016,2.35931411673657,"CSTR"
10.5,0.123103765749712,0.323103765749712,0.787566343680913,0.0893298905693748,0.876896234250288,0.787566343680913,0.89812946164163,0.89812946164163,2.36269903104274,"CSTR"
11,0.12206841800526,0.32206841800526,0.78849621999431,0.0894353620004298,0.87793158199474,0.78849621999431,0.898129461642838,0.898129461642838,2.36548865998293,"CSTR"
11.5,0.121214445695502,0.321214445695501,0.789263197686005,0.0895223566184934,0.878785554304498,0.789263197686005,0.898129461643832,0.898129461643832,2.36778959305801,"CSTR"
12,0.120509595891345,0.320509595891345,0.789896244061872,0.0895941600467827,0.879490404108655,0.789896244061872,0.898129461644651,0.898129461644651,2.36968873218562,"CSTR"
