"tau","X_A","Y_P","S_P","purity","CP","CI","production_rate"
5,0.675178795063875,0.606397968414091,0.898129462665844,0.898129462665844,0.606397968414091,0.068780826649785,1.81919390524227
10,0.772159167577388,0.693498898268785,0.898129462665844,0.898129462665844,0.693498898268785,0.0786602693086031,2.08049669480635
15,0.819050111185683,0.735613036255597,0.898129462665844,0.898129462665844,0.735613036255597,0.0834370749300857,2.20683910876679
20,0.847959466683947,0.761577380175269,0.898129462665844,0.898129462665844,0.761577380175269,0.086382086508678,2.28473214052581
25,0.867985356307638,0.779563221662401,0.898129462665844,0.898129462665844,0.779563221662401,0.088422134645238,2.3386896649872
30,0.882856174813275,0.792919141896269,0.898129462665844,0.898129462665844,0.792919141896269,0.0899370329170059,2.37875742568881
35,0.894424346894696,0.803308858071782,0.898129462665844,0.898129462665844,0.803308858071782,0.0911154888229142,2.40992657421535
40,0.903728913560332,0.811665563531528,0.898129462665844,0.898129462665844,0.811665563531528,0.092063350028804,2.43499669059458
45,0.911403861716371,0.818558660594899,0.898129462665844,0.898129462665844,0.818558660594899,0.0928452011214715,2.4556759817847
50,0.917860816989439,0.824357842364758,0.898129462665844,0.898129462665844,0.824357842364758,0.0935029746246816,2.47307352709427
55,0.923380128850997,0.829314898961264,0.898129462665844,0.898129462665844,0.829314898961264,0.0940652298897333,2.48794469688379
60,0.928160139351512,0.833607967223629,0.898129462665844,0.898129462665844,0.833607967223629,0.0945521721278837,2.50082390167089
65,0.932345589168795,0.837367043019039,0.898129462665844,0.898129462665844,0.837367043019039,0.0949785461497553,2.51210112905712
70,0.936044859707802,0.840689466880494,0.898129462665844,0.898129462665844,0.840689466880494,0.0953553928273085,2.52206840064148
75,0.939340892200098,0.843649730771728,0.898129462665844,0.898129462665844,0.843649730771728,0.0956911614283695,2.53094919231518
80,0.94229835315687,0.84630591359169,0.898129462665844,0.898129462665844,0.84630591359169,0.0959924395651807,2.53891774077507
85,0.944968481360199,0.848704034400194,0.898129462665844,0.898129462665844,0.848704034400194,0.0962644469600049,2.54611210320058
90,0.947392453468675,0.850881075167496,0.898129462665844,0.898129462665844,0.850881075167496,0.0965113783011782,2.55264322550249
95,0.949603774909845,0.852867128105236,0.898129462665844,0.898129462665844,0.852867128105236,0.0967366468046088,2.55860138431571
100,0.951630012774145,0.854686952029533,0.898129462665844,0.898129462665844,0.854686952029533,0.0969430607446119,2.5640608560886
105,0.953494074350197,0.856361120651208,0.898129462665844,0.898129462665844,0.856361120651208,0.0971329536989882,2.56908336195363
110,0.955215165544543,0.857906883360785,0.898129462665844,0.898129462665844,0.857906883360785,0.0973082821837574,2.57372065008236
115,0.95680951966995,0.859338819774736,0.898129462665844,0.898129462665844,0.859338819774736,0.0974706998952135,2.57801645932421
120,0.95829095881898,0.860669343921627,0.898129462665844,0.898129462665844,0.860669343921627,0.0976216148973531,2.58200803176488
