"tau","CA","CB","CP","CI","V_reactor","X_A","Y_P","S_P","purity","production_rate"
0,1,1.2,0,0,0,0,0,0,0,0
0.1,0.934529417695178,1.13452941769518,0.059279774203614,0.00619080810120798,0.3,0.0654705823048221,0.059279774203614,0.90544136330076,0.90544136330076,0.177839322610842
0.6,0.697928835120903,0.897928835120903,0.273507731519545,0.028563433359552,1.8,0.302071164879097,0.273507731519545,0.90544137413306,0.90544137413306,0.820523194558635
1.1,0.550285117702215,0.750285117702216,0.407190462343788,0.0425244199539962,3.3,0.449714882297785,0.407190462343788,0.905441375117136,0.905441375117136,1.22157138703137
1.6,0.449510595637263,0.649510595637263,0.498435884381947,0.0520535199807897,4.8,0.550489404362737,0.498435884381947,0.90544137548571,0.90544137548571,1.49530765314584
2.1,0.376450658745789,0.576450658745789,0.564587374254031,0.0589619670001798,6.3,0.623549341254211,0.564587374254031,0.905441375678427,0.905441375678427,1.69376212276209
2.6,0.321136534142092,0.521136534142092,0.614671071409971,0.0641923944479371,7.8,0.678863465857908,0.614671071409971,0.905441375796743,0.905441375796743,1.84401321422991
3.1,0.277867691901181,0.477867691901181,0.653848471515424,0.0682838365833952,9.3,0.722132308098819,0.653848471515424,0.905441375876659,0.905441375876659,1.96154541454627
3.6,0.243149036883468,0.443149036883468,0.68528417832678,0.0715667847897512,10.8,0.756850963116532,0.68528417832678,0.905441375934177,0.905441375934177,2.05585253498034
4.1,0.21471742760602,0.41471742760602,0.71102733378499,0.0742552386089904,12.3,0.78528257239398,0.71102733378499,0.90544137597749,0.90544137597749,2.13308200135497
4.6,0.191043522593638,0.391043522593639,0.732462666941457,0.0764938104649044,13.8,0.808956477406362,0.732462666941457,0.905441376011233,0.905441376011233,2.19738800082437
5.1,0.171056537345334,0.371056537345335,0.750559710389368,0.078383752265297,15.3,0.828943462654666,0.750559710389368,0.90544137603822,0.90544137603822,2.25167913116811
5.6,0.153984022162863,0.353984022162863,0.766017872047267,0.07999810578987,16.8,0.846015977837137,0.766017872047267,0.905441376060262,0.905441376060262,2.2980536161418
6.1,0.139254844863981,0.339254844863981,0.779354278624766,0.081390876511253,18.3,0.860745155136019,0.779354278624766,0.905441376078576,0.905441376078576,2.3380628358743
